Variable type,Column Name,Data Type,Description,Whole dataset,Admitted,Not admitted
observations,num_obs_pulse,float64,Number of observations of pulse,"Range: 0.00 - 54.00,  Mean: 1.88, Std Dev: 2.06, NA: 0","Range: 0.00 - 34.00,  Mean: 2.64, Std Dev: 2.34, NA: 0","Range: 0.00 - 54.00,  Mean: 1.74, Std Dev: 1.98, NA: 0"
observations,num_obs_air_or_oxygen,float64,Number of observations of air_or_oxygen,"Range: 0.00 - 37.00,  Mean: 1.98, Std Dev: 2.13, NA: 0","Range: 0.00 - 31.00,  Mean: 2.84, Std Dev: 2.42, NA: 0","Range: 0.00 - 37.00,  Mean: 1.82, Std Dev: 2.04, NA: 0"
observations,num_obs_level_of_consciousness,float64,Number of observations of level_of_consciousness,"Range: 0.00 - 36.00,  Mean: 1.98, Std Dev: 2.12, NA: 0","Range: 0.00 - 31.00,  Mean: 2.84, Std Dev: 2.40, NA: 0","Range: 0.00 - 36.00,  Mean: 1.82, Std Dev: 2.03, NA: 0"
observations,num_obs_manchester_triage_acuity,float64,Number of observations of manchester_triage_acuity,"Range: 0.00 - 4.00,  Mean: 0.89, Std Dev: 0.32, NA: 0","Range: 0.00 - 4.00,  Mean: 0.94, Std Dev: 0.26, NA: 0","Range: 0.00 - 3.00,  Mean: 0.89, Std Dev: 0.33, NA: 0"
observations,num_obs_objective_pain_score,float64,Number of observations of objective_pain_score,"Range: 0.00 - 4.00,  Mean: 0.78, Std Dev: 0.43, NA: 0","Range: 0.00 - 4.00,  Mean: 0.78, Std Dev: 0.43, NA: 0","Range: 0.00 - 3.00,  Mean: 0.78, Std Dev: 0.43, NA: 0"
observations,num_obs_subjective_pain_score,float64,Number of observations of subjective_pain_score,"Range: 0.00 - 4.00,  Mean: 0.78, Std Dev: 0.42, NA: 0","Range: 0.00 - 4.00,  Mean: 0.78, Std Dev: 0.42, NA: 0","Range: 0.00 - 3.00,  Mean: 0.78, Std Dev: 0.42, NA: 0"
observations,num_obs_temperature,float64,Number of observations of temperature,"Range: 0.00 - 36.00,  Mean: 1.82, Std Dev: 2.02, NA: 0","Range: 0.00 - 30.00,  Mean: 2.58, Std Dev: 2.29, NA: 0","Range: 0.00 - 36.00,  Mean: 1.68, Std Dev: 1.94, NA: 0"
observations,num_obs_blood_pressure,float64,Number of observations of blood_pressure,"Range: 0.00 - 37.00,  Mean: 1.44, Std Dev: 2.26, NA: 0","Range: 0.00 - 32.00,  Mean: 2.42, Std Dev: 2.56, NA: 0","Range: 0.00 - 37.00,  Mean: 1.26, Std Dev: 2.15, NA: 0"
observations,num_obs_glasgow_coma_scale_best_motor_response,float64,Number of observations of glasgow_coma_scale_best_motor_response,"Range: 0.00 - 26.00,  Mean: 0.66, Std Dev: 1.24, NA: 0","Range: 0.00 - 26.00,  Mean: 1.17, Std Dev: 1.54, NA: 0","Range: 0.00 - 20.00,  Mean: 0.57, Std Dev: 1.15, NA: 0"
observations,num_obs_news_score_result,float64,Number of observations of news_score_result,"Range: 0.00 - 35.00,  Mean: 1.25, Std Dev: 2.00, NA: 0","Range: 0.00 - 29.00,  Mean: 2.08, Std Dev: 2.26, NA: 0","Range: 0.00 - 35.00,  Mean: 1.10, Std Dev: 1.91, NA: 0"
observations,num_obs_oxygen_delivery_method,float64,Number of observations of oxygen_delivery_method,"Range: 0.00 - 29.00,  Mean: 0.04, Std Dev: 0.44, NA: 0","Range: 0.00 - 25.00,  Mean: 0.15, Std Dev: 0.81, NA: 0","Range: 0.00 - 29.00,  Mean: 0.02, Std Dev: 0.33, NA: 0"
observations,num_obs_oxygen_flow_rate,float64,Number of observations of oxygen_flow_rate,"Range: 0.00 - 30.00,  Mean: 0.04, Std Dev: 0.41, NA: 0","Range: 0.00 - 18.00,  Mean: 0.14, Std Dev: 0.74, NA: 0","Range: 0.00 - 30.00,  Mean: 0.02, Std Dev: 0.31, NA: 0"
observations,num_obs_pupil_reaction_right,float64,Number of observations of pupil_reaction_right,"Range: 0.00 - 26.00,  Mean: 0.07, Std Dev: 0.42, NA: 0","Range: 0.00 - 26.00,  Mean: 0.11, Std Dev: 0.59, NA: 0","Range: 0.00 - 16.00,  Mean: 0.06, Std Dev: 0.38, NA: 0"
observations,num_obs_uclh_sskin_areas_observed,float64,Number of observations of uclh_sskin_areas_observed,"Range: 0.00 - 9.00,  Mean: 0.01, Std Dev: 0.10, NA: 0","Range: 0.00 - 9.00,  Mean: 0.02, Std Dev: 0.18, NA: 0","Range: 0.00 - 6.00,  Mean: 0.00, Std Dev: 0.08, NA: 0"
observations,latest_obs_pulse,float64,Latest result for pulse,"Range: 0.00 - 233.00,  Mean: 87.40, Std Dev: 20.03, NA: 33751","Range: 0.00 - 226.00,  Mean: 87.70, Std Dev: 21.64, NA: 3037","Range: 2.00 - 233.00,  Mean: 87.33, Std Dev: 19.69, NA: 30714"
observations,latest_obs_respirations,float64,Latest result for respirations,"Range: 1.00 - 187.00,  Mean: 18.74, Std Dev: 4.65, NA: 43708","Range: 1.00 - 122.00,  Mean: 19.20, Std Dev: 5.00, NA: 3692","Range: 1.00 - 187.00,  Mean: 18.64, Std Dev: 4.57, NA: 40016"
observations,latest_obs_level_of_consciousness,object,Latest result for level_of_consciousness,"Frequencies: {A: 168,089, C: 1,029, None: 174, P: 225, U: 81, V: 394, nan: 32,352}","Frequencies: {A: 27,258, C: 421, None: 39, P: 67, U: 41, V: 117, nan: 3,433}","Frequencies: {A: 140,831, C: 608, None: 135, P: 158, U: 40, V: 277, nan: 28,919}"
observations,latest_obs_manchester_triage_acuity,object,Latest result for manchester_triage_acuity,"Frequencies: {Blue: 4,752, Green: 79,318, None: 5, Orange: 26,568, Red: 425, Yellow: 68,952, nan: 22,324}","Frequencies: {Blue: 186, Green: 6,718, Orange: 8,178, Red: 166, Yellow: 14,010, nan: 2,118}","Frequencies: {Blue: 4,566, Green: 72,600, None: 5, Orange: 18,390, Red: 259, Yellow: 54,942, nan: 20,206}"
observations,latest_obs_objective_pain_score,object,Latest result for objective_pain_score,"Frequencies: {Mild: 72,400, Moderate: 31,575, Nil: 49,081, None: 4, Severe_Very Severe: 3,283, nan: 46,001}","Frequencies: {Mild: 8,518, Moderate: 7,002, Nil: 7,538, Severe_Very Severe: 1,134, nan: 7,184}","Frequencies: {Mild: 63,882, Moderate: 24,573, Nil: 41,543, None: 4, Severe_Very Severe: 2,149, nan: 38,817}"
observations,latest_obs_temperature,float64,Latest result for temperature,"Range: 38.10 - 106.20,  Mean: 98.02, Std Dev: 1.08, NA: 36521","Range: 80.10 - 106.20,  Mean: 98.19, Std Dev: 1.14, NA: 3257","Range: 38.10 - 105.80,  Mean: 97.98, Std Dev: 1.06, NA: 33264"
observations,latest_obs_news_score_result,float64,Latest result for news_score_result,"Range: 0.00 - 15.00,  Mean: 0.86, Std Dev: 1.31, NA: 97509","Range: 0.00 - 15.00,  Mean: 1.33, Std Dev: 1.83, NA: 7545","Range: 0.00 - 14.00,  Mean: 0.72, Std Dev: 1.08, NA: 89964"
lab orders and results,lab_orders_bc,bool,Request for lab battery bc has been placed,"Frequencies: {False: 193,613, True: 8,731}","Frequencies: {False: 27,077, True: 4,299}","Frequencies: {False: 166,536, True: 4,432}"
lab orders and results,lab_orders_bon,bool,Request for lab battery bon has been placed,"Frequencies: {False: 195,653, True: 6,691}","Frequencies: {False: 29,479, True: 1,897}","Frequencies: {False: 166,174, True: 4,794}"
lab orders and results,lab_orders_crp,bool,Request for lab battery crp has been placed,"Frequencies: {False: 117,810, True: 84,534}","Frequencies: {False: 7,800, True: 23,576}","Frequencies: {False: 110,010, True: 60,958}"
lab orders and results,lab_orders_csnf,bool,Request for lab battery csnf has been placed,"Frequencies: {False: 159,220, True: 43,124}","Frequencies: {False: 16,838, True: 14,538}","Frequencies: {False: 142,382, True: 28,586}"
lab orders and results,lab_orders_ddit,bool,Request for lab battery ddit has been placed,"Frequencies: {False: 192,369, True: 9,975}","Frequencies: {False: 29,416, True: 1,960}","Frequencies: {False: 162,953, True: 8,015}"
lab orders and results,lab_orders_ncov,bool,Request for lab battery ncov has been placed,"Frequencies: {False: 202,231, True: 113}","Frequencies: {False: 31,330, True: 46}","Frequencies: {False: 170,901, True: 67}"
lab orders and results,lab_orders_rflu,bool,Request for lab battery rflu has been placed,"Frequencies: {False: 179,224, True: 23,120}","Frequencies: {False: 22,612, True: 8,764}","Frequencies: {False: 156,612, True: 14,356}"
lab orders and results,lab_orders_xcov,bool,Request for lab battery xcov has been placed,"Frequencies: {False: 191,689, True: 10,655}","Frequencies: {False: 28,254, True: 3,122}","Frequencies: {False: 163,435, True: 7,533}"
lab orders and results,latest_lab_results_alb,float64,Latest result for alb,"Range: 11.00 - 63.00,  Mean: 43.57, Std Dev: 4.98, NA: 170031","Range: 11.00 - 61.00,  Mean: 41.98, Std Dev: 5.68, NA: 21608","Range: 15.00 - 63.00,  Mean: 44.26, Std Dev: 4.48, NA: 148423"
lab orders and results,latest_lab_results_crea,float64,Latest result for crea,"Range: 14.00 - 1379.00,  Mean: 82.97, Std Dev: 46.29, NA: 144583","Range: 15.00 - 1379.00,  Mean: 90.54, Std Dev: 60.68, NA: 15161","Range: 14.00 - 1046.00,  Mean: 80.01, Std Dev: 38.87, NA: 129422"
lab orders and results,latest_lab_results_hctu,float64,Latest result for hctu,"Range: 0.11 - 0.74,  Mean: 0.40, Std Dev: 0.05, NA: 137021","Range: 0.11 - 0.66,  Mean: 0.39, Std Dev: 0.06, NA: 13324","Range: 0.15 - 0.74,  Mean: 0.40, Std Dev: 0.05, NA: 123697"
lab orders and results,latest_lab_results_htrt,float64,Latest result for htrt,"Range: 3.00 - 5521.00,  Mean: 23.43, Std Dev: 116.48, NA: 193253","Range: 3.00 - 4979.00,  Mean: 40.34, Std Dev: 150.78, NA: 29132","Range: 3.00 - 5521.00,  Mean: 17.89, Std Dev: 102.19, NA: 164121"
lab orders and results,latest_lab_results_k,float64,Latest result for k,"Range: 1.50 - 8.90,  Mean: 4.27, Std Dev: 0.45, NA: 150708","Range: 2.00 - 8.90,  Mean: 4.27, Std Dev: 0.51, NA: 17142","Range: 1.50 - 6.90,  Mean: 4.27, Std Dev: 0.42, NA: 133566"
lab orders and results,latest_lab_results_lac,float64,Latest result for lac,"Range: -0.10 - 29.00,  Mean: 1.38, Std Dev: 1.03, NA: 129873","Range: -0.10 - 28.00,  Mean: 1.56, Std Dev: 1.26, NA: 11191","Range: -0.10 - 29.00,  Mean: 1.32, Std Dev: 0.91, NA: 118682"
lab orders and results,latest_lab_results_na,float64,Latest result for na,"Range: 103.00 - 174.00,  Mean: 138.02, Std Dev: 3.65, NA: 144391","Range: 103.00 - 174.00,  Mean: 137.18, Std Dev: 4.41, NA: 15084","Range: 116.00 - 154.00,  Mean: 138.35, Std Dev: 3.25, NA: 129307"
lab orders and results,latest_lab_results_pco2,float64,Latest result for pco2,"Range: 1.66 - 24.30,  Mean: 6.07, Std Dev: 0.98, NA: 128302","Range: 1.66 - 18.60,  Mean: 5.97, Std Dev: 1.06, NA: 10757","Range: 1.87 - 24.30,  Mean: 6.11, Std Dev: 0.94, NA: 117545"
lab orders and results,latest_lab_results_ph,float64,Latest result for ph,"Range: 6.32 - 7.71,  Mean: 7.39, Std Dev: 0.05, NA: 128252","Range: 6.68 - 7.70,  Mean: 7.40, Std Dev: 0.06, NA: 10749","Range: 6.32 - 7.71,  Mean: 7.39, Std Dev: 0.05, NA: 117503"
lab orders and results,latest_lab_results_wcc,float64,Latest result for wcc,"Range: 0.06 - 317.97,  Mean: 8.96, Std Dev: 4.58, NA: 137031","Range: 0.06 - 317.97,  Mean: 10.04, Std Dev: 5.90, NA: 13330","Range: 0.10 - 287.91,  Mean: 8.55, Std Dev: 3.88, NA: 123701"
consults,final_sequence,object,Consultation sequence at end of visit,"Frequencies (highest 12): {(CON11,): 3,253, (CON13,): 3,508, (CON15,): 6,583, (CON154,): 1,501, (CON157,): 23,632, (CON158,): 6,322, (CON30404001,): 10,961, (CON39,): 3,151, (CON4,): 6,617, (CON46,): 3,389, (CON52,): 5,671, (): 107,312}","Frequencies (highest 12): {(CON11,): 493, (CON13,): 820, (CON15,): 1,500, (CON157, CON157): 478, (CON157,): 11,726, (CON39,): 1,215, (CON4,): 2,730, (CON46,): 831, (CON47,): 564, (CON52,): 1,040, (CON57,): 886, (): 474}","Frequencies (highest 12): {(CON11,): 2,760, (CON13,): 2,688, (CON15,): 5,083, (CON154,): 1,130, (CON157,): 11,906, (CON158,): 6,276, (CON30404001,): 10,795, (CON39,): 1,936, (CON4,): 3,887, (CON46,): 2,558, (CON52,): 4,631, (): 106,838}"
outcome,is_admitted,bool,Patient was admitted after ED,"Frequencies: {False: 170,968, True: 31,376}","Frequencies: {True: 31,376}","Frequencies: {False: 170,968}"
consults,specialty,object,specialty,"Frequencies: {haem/onc: 2,394, medical: 18,990, nan: 170,979, paediatric: 2,040, surgical: 7,941}","Frequencies: {haem/onc: 2,279, medical: 18,582, nan: 679, paediatric: 2,035, surgical: 7,801}","Frequencies: {haem/onc: 115, medical: 408, nan: 170,300, paediatric: 5, surgical: 140}"
